year,firstday,lastday
2015,174,184
2016,265,275
2017,207,215
2018,False,False
2019,209,255
2020,169,191
2021,174,182
2022,179,219
2023,168,196
2024,166,255
2025,183,193
2026,183,231
2027,156,196
2028,156,206
2029,226,249
2030,179,232
2031,182,191
2032,False,False
2033,131,203
2034,226,253
2035,134,195
2036,183,268
2037,169,179
2038,186,194
2039,195,247
2040,False,False
2041,156,172
2042,168,225
2043,192,206
2044,169,178
2045,False,False
2046,191,199
2047,177,185
2048,179,256
2049,181,190
2050,False,False
2051,False,False
2052,166,180
2053,180,188
2054,False,False
2055,185,196
2056,219,227
2057,194,203
2058,False,False
2059,False,False
2060,False,False
2061,219,230
2062,False,False
2063,False,False
2064,False,False
2065,180,193
2066,False,False
2067,False,False
2068,179,283
2069,174,194
2070,183,223
2071,209,219
2072,175,213
2073,177,186
2074,227,245
2075,178,188
2076,193,211
2077,196,228
2078,180,189
2079,189,198
2080,False,False
2081,False,False
2082,166,199
2083,087,185
2084,186,195
2085,False,False
2086,227,241
2087,166,175
2088,160,234
2089,183,202
2090,168,187
2091,172,194
2092,176,274
2093,190,251
2094,False,False
2095,192,201
2096,172,258
2097,False,False
2098,208,229
2099,183,251
2100,False,False
