year,firstday,lastday
2015,173,215
2016,200,210
2017,212,220
2018,177,262
2019,191,199
2020,148,196
2021,145,194
2022,212,221
2023,False,False
2024,228,240
2025,186,199
2026,189,256
2027,False,False
2028,240,248
2029,183,194
2030,182,192
2031,198,208
2032,False,False
2033,217,234
2034,False,False
2035,False,False
2036,162,199
2037,182,197
2038,220,229
2039,False,False
2040,189,198
2041,184,193
2042,185,194
2043,181,189
2044,False,False
2045,173,184
2046,False,False
2047,167,237
2048,254,263
2049,194,210
2050,174,188
2051,185,196
2052,185,231
2053,False,False
2054,189,201
2055,False,False
2056,False,False
2057,227,246
2058,181,245
2059,False,False
2060,212,264
2061,False,False
2062,167,207
2063,False,False
2064,170,204
2065,174,185
2066,False,False
2067,171,182
2068,False,False
2069,239,262
2070,125,254
2071,False,False
2072,175,193
2073,178,207
2074,False,False
2075,245,253
2076,False,False
2077,217,230
2078,False,False
2079,213,228
2080,161,191
2081,False,False
2082,False,False
2083,167,182
2084,223,232
2085,False,False
2086,173,182
2087,175,188
2088,162,260
2089,278,286
2090,204,214
2091,False,False
2092,False,False
2093,False,False
2094,228,237
2095,179,206
2096,184,213
2097,185,193
2098,False,False
2099,192,267
2100,False,False
