year,firstday,lastday
2015,179,242
2016,128,202
2017,183,210
2018,159,177
2019,194,266
2020,129,226
2021,False,False
2022,184,212
2023,137,236
2024,195,221
2025,173,248
2026,173,193
2027,166,212
2028,170,219
2029,175,276
2030,165,252
2031,False,False
2032,185,202
2033,187,240
2034,137,235
2035,142,205
2036,False,False
2037,187,199
2038,149,174
2039,False,False
2040,188,242
2041,182,193
2042,187,196
2043,182,231
2044,191,204
2045,False,False
2046,197,206
2047,135,238
2048,219,228
2049,163,234
2050,163,206
2051,192,258
2052,184,232
2053,False,False
2054,151,223
2055,130,239
2056,190,242
2057,181,259
2058,127,230
2059,182,283
2060,False,False
2061,229,239
2062,145,253
2063,193,201
2064,201,255
2065,181,203
2066,182,241
2067,195,207
2068,132,198
2069,145,257
2070,138,205
2071,148,215
2072,185,205
2073,181,272
2074,179,255
2075,173,253
2076,138,219
2077,128,244
2078,147,225
2079,176,249
2080,144,287
2081,140,222
2082,144,241
2083,121,217
2084,156,269
2085,151,221
2086,189,254
2087,132,240
2088,144,207
2089,197,271
2090,144,271
2091,163,261
2092,164,193
2093,172,256
2094,183,267
2095,142,206
2096,125,214
2097,168,252
2098,126,223
2099,127,244
2100,124,236
