year,firstday,lastday
2015,149,158
2016,False,False
2017,False,False
2018,220,231
2019,135,263
2020,181,231
2021,163,176
2022,213,227
2023,157,217
2024,False,False
2025,194,225
2026,False,False
2027,178,252
2028,095,197
2029,179,196
2030,158,191
2031,152,185
2032,False,False
2033,192,201
2034,171,185
2035,194,203
2036,False,False
2037,181,189
2038,140,221
2039,162,207
2040,216,236
2041,187,197
2042,217,225
2043,False,False
2044,137,263
2045,222,231
2046,167,189
2047,221,238
2048,171,232
2049,181,196
2050,False,False
2051,160,168
2052,False,False
2053,145,202
2054,143,162
2055,166,207
2056,144,157
2057,152,217
2058,199,278
2059,False,False
2060,153,161
2061,168,179
2062,190,199
2063,167,230
2064,False,False
2065,150,180
2066,188,247
2067,163,207
2068,150,200
2069,False,False
2070,138,259
2071,146,230
2072,False,False
2073,140,161
2074,184,281
2075,145,167
2076,115,181
2077,227,237
2078,193,202
2079,False,False
2080,False,False
2081,166,195
2082,148,185
2083,False,False
2084,205,214
2085,159,168
2086,False,False
2087,172,180
2088,189,243
2089,False,False
2090,171,243
2091,172,218
2092,161,180
2093,False,False
2094,False,False
2095,176,235
2096,193,201
2097,129,137
2098,False,False
2099,184,192
2100,187,202
