year,firstday,lastday
2015,153,231
2016,False,False
2017,235,243
2018,220,231
2019,154,345
2020,180,241
2021,186,200
2022,184,240
2023,110,240
2024,196,238
2025,214,247
2026,181,193
2027,189,197
2028,176,229
2029,188,196
2030,185,248
2031,179,191
2032,216,234
2033,205,217
2034,223,259
2035,182,203
2036,154,237
2037,False,False
2038,212,223
2039,159,240
2040,219,231
2041,187,196
2042,162,231
2043,179,202
2044,182,191
2045,222,249
2046,176,246
2047,193,238
2048,170,195
2049,170,240
2050,185,203
2051,180,196
2052,175,201
2053,195,239
2054,183,202
2055,166,206
2056,126,201
2057,190,219
2058,168,183
2059,160,186
2060,198,241
2061,167,243
2062,188,223
2063,126,222
2064,181,236
2065,150,216
2066,159,210
2067,140,209
2068,190,237
2069,178,197
2070,181,271
2071,156,225
2072,184,199
2073,193,202
2074,187,280
2075,160,198
2076,139,209
2077,133,241
2078,187,201
2079,167,182
2080,False,False
2081,194,226
2082,174,196
2083,162,220
2084,188,214
2085,132,229
2086,204,265
2087,173,206
2088,178,240
2089,False,False
2090,160,215
2091,157,283
2092,161,258
2093,102,194
2094,184,211
2095,201,235
2096,191,240
2097,200,258
2098,False,False
2099,170,202
2100,161,259
