year,firstday,lastday
2015,135,143
2016,166,210
2017,False,False
2018,189,203
2019,211,220
2020,False,False
2021,False,False
2022,False,False
2023,False,False
2024,False,False
2025,204,212
2026,186,226
2027,186,196
2028,238,248
2029,False,False
2030,False,False
2031,False,False
2032,198,206
2033,203,233
2034,180,188
2035,False,False
2036,183,192
2037,164,194
2038,False,False
2039,False,False
2040,247,255
2041,False,False
2042,False,False
2043,254,262
2044,180,259
2045,221,230
2046,207,216
2047,183,191
2048,False,False
2049,194,258
2050,182,191
2051,False,False
2052,195,203
2053,228,236
2054,False,False
2055,False,False
2056,False,False
2057,False,False
2058,False,False
2059,False,False
2060,254,263
2061,False,False
2062,215,267
2063,197,208
2064,167,211
2065,False,False
2066,False,False
2067,False,False
2068,False,False
2069,False,False
2070,245,254
2071,False,False
2072,False,False
2073,183,196
2074,False,False
2075,188,197
2076,False,False
2077,217,239
2078,219,319
2079,False,False
2080,154,234
2081,218,234
2082,219,233
2083,151,173
2084,229,238
2085,False,False
2086,False,False
2087,130,138
2088,False,False
2089,070,263
2090,239,266
2091,False,False
2092,137,211
2093,150,181
2094,False,False
2095,197,205
2096,203,214
2097,False,False
2098,False,False
2099,193,202
2100,192,201
