year,firstday,lastday
2015,215,228
2016,230,240
2017,121,130
2018,217,237
2019,134,219
2020,198,243
2021,185,235
2022,198,219
2023,111,224
2024,193,213
2025,207,247
2026,159,209
2027,181,200
2028,180,215
2029,188,210
2030,176,201
2031,187,202
2032,217,229
2033,170,226
2034,164,259
2035,189,203
2036,229,237
2037,175,183
2038,161,244
2039,160,214
2040,False,False
2041,182,196
2042,187,225
2043,174,203
2044,137,206
2045,151,166
2046,164,248
2047,223,233
2048,175,196
2049,150,240
2050,187,203
2051,156,199
2052,182,202
2053,False,False
2054,183,214
2055,165,207
2056,False,False
2057,205,217
2058,174,207
2059,136,228
2060,194,239
2061,167,243
2062,195,207
2063,125,175
2064,151,177
2065,150,177
2066,144,203
2067,162,184
2068,146,177
2069,186,220
2070,194,228
2071,163,237
2072,184,211
2073,128,148
2074,192,280
2075,151,214
2076,140,195
2077,133,224
2078,199,252
2079,False,False
2080,180,191
2081,195,206
2082,163,209
2083,177,212
2084,203,213
2085,186,201
2086,182,215
2087,False,False
2088,168,176
2089,180,209
2090,171,180
2091,149,207
2092,152,258
2093,186,194
2094,170,248
2095,False,False
2096,191,202
2097,157,189
2098,161,169
2099,188,201
2100,164,203
