year,firstday,lastday
2015,169,227
2016,181,196
2017,223,256
2018,175,277
2019,183,208
2020,False,False
2021,False,False
2022,152,265
2023,182,198
2024,181,263
2025,237,242
2026,175,268
2027,164,217
2028,171,209
2029,157,249
2030,254,261
2031,211,222
2032,200,285
2033,205,211
2034,247,253
2035,181,198
2036,197,203
2037,225,230
2038,156,258
2039,131,229
2040,162,249
2041,181,241
2042,216,246
2043,235,256
2044,203,222
2045,195,206
2046,160,221
2047,197,270
2048,195,237
2049,202,221
2050,149,232
2051,196,260
2052,202,269
2053,152,197
2054,210,216
2055,171,237
2056,137,200
2057,212,263
2058,212,217
2059,177,229
2060,162,243
2061,183,249
2062,181,266
2063,185,267
2064,192,259
2065,154,191
2066,161,257
2067,210,216
2068,184,270
2069,196,202
2070,161,267
2071,170,274
2072,114,270
2073,174,202
2074,183,249
2075,143,262
2076,182,252
2077,126,131
2078,038,224
2079,173,228
2080,206,247
2081,227,232
2082,195,200
2083,189,256
2084,169,197
2085,176,309
2086,152,189
2087,180,189
2088,200,246
2089,171,271
2090,173,180
2091,181,246
2092,132,227
2093,181,227
2094,154,195
2095,195,243
2096,208,263
2097,166,250
2098,186,223
2099,216,333
2100,116,268
