year,firstday,lastday
2015,173,215
2016,186,222
2017,212,220
2018,177,262
2019,191,361
2020,148,245
2021,145,207
2022,212,233
2023,False,False
2024,228,240
2025,186,248
2026,178,263
2027,236,269
2028,171,261
2029,183,272
2030,182,240
2031,182,248
2032,182,253
2033,201,234
2034,190,238
2035,206,244
2036,162,199
2037,158,197
2038,170,229
2039,185,272
2040,189,236
2041,184,258
2042,185,248
2043,171,272
2044,003,251
2045,173,226
2046,False,False
2047,167,264
2048,222,263
2049,183,272
2050,174,251
2051,185,228
2052,089,241
2053,245,250
2054,163,360
2055,235,241
2056,207,213
2057,185,246
2058,173,266
2059,199,249
2060,204,264
2061,192,237
2062,167,267
2063,216,237
2064,170,247
2065,174,204
2066,182,244
2067,171,198
2068,230,236
2069,239,270
2070,125,265
2071,202,273
2072,128,236
2073,178,207
2074,192,231
2075,187,272
2076,False,False
2077,217,239
2078,258,263
2079,175,228
2080,161,233
2081,198,234
2082,210,216
2083,167,239
2084,183,242
2085,174,259
2086,173,358
2087,175,198
2088,162,275
2089,070,286
2090,064,259
2091,181,200
2092,271,277
2093,247,252
2094,228,253
2095,179,256
2096,184,213
2097,165,255
2098,177,206
2099,182,267
2100,192,250
