year,firstday,lastday
2015,123,239
2016,121,269
2017,128,255
2018,117,246
2019,114,256
2020,119,279
2021,101,246
2022,130,251
2023,117,249
2024,122,259
2025,104,249
2026,126,251
2027,134,283
2028,139,253
2029,119,263
2030,133,236
2031,140,270
2032,111,271
2033,134,250
2034,114,243
2035,091,239
2036,105,255
2037,108,244
2038,117,239
2039,150,249
2040,115,257
2041,120,244
2042,136,262
2043,133,263
2044,122,264
2045,133,254
2046,150,259
2047,136,275
2048,140,251
2049,097,237
2050,150,252
2051,149,272
2052,160,255
2053,087,272
2054,108,265
2055,093,247
2056,131,271
2057,145,243
2058,142,271
2059,128,259
2060,114,255
2061,123,270
2062,145,267
2063,153,255
2064,096,268
2065,141,257
2066,098,259
2067,150,261
2068,097,283
2069,093,277
2070,106,253
2071,160,277
2072,140,278
2073,100,264
2074,096,273
2075,129,297
2076,109,265
2077,115,266
2078,151,261
2079,093,303
2080,113,262
2081,135,270
2082,105,262
2083,097,259
2084,140,269
2085,129,293
2086,117,264
2087,135,279
2088,097,245
2089,110,240
2090,144,275
2091,102,270
2092,105,269
2093,103,278
2094,096,299
2095,114,279
2096,115,271
2097,129,273
2098,115,265
2099,096,291
2100,142,267
