year,firstday,lastday
2015,097,231
2016,110,274
2017,114,250
2018,137,227
2019,158,358
2020,084,264
2021,099,355
2022,094,246
2023,171,266
2024,100,264
2025,177,258
2026,092,282
2027,154,262
2028,177,260
2029,174,270
2030,107,272
2031,154,357
2032,078,260
2033,096,235
2034,135,212
2035,190,259
2036,149,355
2037,151,253
2038,149,267
2039,157,235
2040,121,272
2041,114,275
2042,106,275
2043,139,270
2044,135,359
2045,139,249
2046,097,236
2047,154,256
2048,164,267
2049,082,349
2050,134,243
2051,164,276
2052,070,286
2053,105,303
2054,161,360
2055,119,250
2056,181,258
2057,116,260
2058,141,354
2059,181,257
2060,117,263
2061,154,252
2062,110,280
2063,160,268
2064,117,338
2065,144,355
2066,152,350
2067,150,277
2068,127,355
2069,159,262
2070,123,261
2071,112,269
2072,120,264
2073,149,270
2074,179,295
2075,150,266
2076,137,304
2077,141,365
2078,095,275
2079,113,253
2080,002,248
2081,115,277
2082,124,279
2083,136,352
2084,183,263
2085,104,260
2086,138,360
2087,157,267
2088,135,266
2089,139,286
2090,118,264
2091,102,250
2092,119,278
2093,138,250
2094,171,259
2095,140,267
2096,117,258
2097,161,249
2098,093,270
2099,143,234
2100,152,246
