year,firstday,lastday
2015,097,286
2016,131,272
2017,134,209
2018,133,212
2019,128,231
2020,127,358
2021,132,262
2022,152,299
2023,107,280
2024,131,242
2025,152,212
2026,155,294
2027,134,332
2028,168,215
2029,111,309
2030,165,212
2031,174,241
2032,109,210
2033,106,272
2034,149,240
2035,108,215
2036,150,247
2037,154,270
2038,112,288
2039,107,213
2040,151,214
2041,115,258
2042,144,285
2043,096,281
2044,101,254
2045,171,234
2046,105,293
2047,126,265
2048,101,251
2049,141,293
2050,151,264
2051,151,329
2052,033,269
2053,105,278
2054,149,302
2055,123,296
2056,138,274
2057,116,273
2058,112,346
2059,124,241
2060,121,246
2061,106,321
2062,140,245
2063,136,239
2064,120,275
2065,166,290
2066,104,235
2067,119,246
2068,119,252
2069,119,244
2070,124,269
2071,146,244
2072,122,302
2073,096,240
2074,140,223
2075,151,228
2076,150,278
2077,142,283
2078,119,308
2079,130,283
2080,111,359
2081,146,319
2082,142,299
2083,135,238
2084,121,232
2085,145,281
2086,144,279
2087,168,343
2088,141,277
2089,128,343
2090,126,275
2091,099,242
2092,124,246
2093,150,242
2094,111,322
2095,127,245
2096,122,289
2097,158,241
2098,125,247
2099,110,239
2100,109,238
