year,firstday,lastday
2015,205,212
2016,159,242
2017,147,215
2018,154,248
2019,181,204
2020,163,221
2021,179,186
2022,183,212
2023,192,245
2024,212,220
2025,213,245
2026,178,193
2027,175,215
2028,172,178
2029,False,False
2030,166,257
2031,175,182
2032,151,180
2033,179,263
2034,161,201
2035,142,209
2036,False,False
2037,False,False
2038,164,226
2039,249,254
2040,156,192
2041,188,316
2042,147,155
2043,False,False
2044,264,270
2045,163,170
2046,191,196
2047,168,199
2048,196,240
2049,163,245
2050,162,263
2051,159,164
2052,262,267
2053,False,False
2054,153,169
2055,172,210
2056,188,197
2057,181,253
2058,137,252
2059,184,244
2060,154,249
2061,157,235
2062,164,201
2063,207,215
2064,201,216
2065,194,241
2066,191,259
2067,153,214
2068,166,249
2069,237,257
2070,145,233
2071,149,232
2072,147,193
2073,False,False
2074,074,079
2075,181,273
2076,False,False
2077,170,232
2078,170,190
2079,177,248
2080,185,196
2081,195,200
2082,158,231
2083,165,170
2084,259,269
2085,173,312
2086,240,248
2087,205,240
2088,198,227
2089,223,268
2090,148,187
2091,188,197
2092,False,False
2093,172,252
2094,False,False
2095,171,213
2096,230,236
2097,155,272
2098,162,199
2099,False,False
2100,181,236
