year,firstday,lastday
2015,127,276
2016,129,273
2017,103,249
2018,114,190
2019,100,267
2020,002,255
2021,127,264
2022,101,246
2023,102,258
2024,119,253
2025,102,365
2026,138,342
2027,133,222
2028,138,264
2029,123,227
2030,126,273
2031,180,249
2032,114,256
2033,125,241
2034,117,262
2035,094,242
2036,100,217
2037,113,253
2038,121,246
2039,120,242
2040,103,243
2041,096,248
2042,117,257
2043,103,260
2044,157,241
2045,162,259
2046,011,265
2047,019,238
2048,142,255
2049,095,253
2050,121,260
2051,134,296
2052,098,175
2053,164,232
2054,135,228
2055,124,258
2056,195,271
2057,190,269
2058,130,355
2059,109,265
2060,174,241
2061,111,263
2062,129,252
2063,116,256
2064,145,274
2065,093,263
2066,139,270
2067,101,224
2068,180,270
2069,175,274
2070,172,255
2071,115,259
2072,103,264
2073,146,257
2074,128,270
2075,144,265
2076,108,247
2077,119,267
2078,095,250
2079,130,270
2080,129,275
2081,190,262
2082,004,241
2083,144,267
2084,122,245
2085,105,207
2086,125,233
2087,144,269
2088,201,208
2089,061,240
2090,143,261
2091,128,229
2092,166,268
2093,168,258
2094,131,249
2095,112,248
2096,124,258
2097,149,273
2098,126,268
2099,171,244
2100,182,274
