year,firstday,lastday
2015,133,216
2016,190,258
2017,114,216
2018,178,257
2019,191,225
2020,147,204
2021,185,230
2022,238,243
2023,231,270
2024,202,211
2025,191,251
2026,179,255
2027,154,161
2028,088,260
2029,185,262
2030,183,220
2031,164,317
2032,168,274
2033,203,251
2034,197,203
2035,206,250
2036,146,234
2037,078,194
2038,183,241
2039,False,False
2040,270,275
2041,088,171
2042,201,224
2043,180,276
2044,172,287
2045,142,255
2046,223,237
2047,170,239
2048,176,296
2049,194,232
2050,174,224
2051,220,295
2052,178,221
2053,258,263
2054,173,204
2055,185,190
2056,191,196
2057,187,233
2058,139,271
2059,197,264
2060,155,270
2061,272,279
2062,170,205
2063,False,False
2064,170,245
2065,179,254
2066,179,234
2067,159,235
2068,178,268
2069,False,False
2070,130,275
2071,190,195
2072,147,240
2073,157,202
2074,209,214
2075,187,249
2076,206,231
2077,197,258
2078,163,250
2079,177,229
2080,002,191
2081,110,204
2082,202,209
2083,165,234
2084,189,226
2085,141,193
2086,170,356
2087,179,292
2088,189,265
2089,070,275
2090,062,267
2091,185,248
2092,181,266
2093,154,245
2094,225,252
2095,081,300
2096,197,264
2097,172,253
2098,182,206
2099,182,254
2100,232,247
