year,firstday,lastday
2015,097,247
2016,110,258
2017,103,238
2018,131,225
2019,090,241
2020,147,259
2021,106,259
2022,097,255
2023,172,268
2024,116,225
2025,174,260
2026,131,263
2027,069,249
2028,089,253
2029,021,242
2030,112,265
2031,169,249
2032,108,276
2033,111,265
2034,094,255
2035,092,258
2036,148,240
2037,117,254
2038,169,268
2039,099,236
2040,108,277
2041,088,257
2042,164,258
2043,130,273
2044,136,255
2045,140,251
2046,095,243
2047,141,255
2048,173,263
2049,083,259
2050,165,261
2051,110,263
2052,075,240
2053,094,252
2054,129,359
2055,132,253
2056,135,258
2057,176,259
2058,137,270
2059,142,261
2060,116,264
2061,075,259
2062,093,268
2063,173,266
2064,162,337
2065,097,243
2066,127,238
2067,159,260
2068,131,254
2069,108,258
2070,098,266
2071,176,260
2072,127,252
2073,153,246
2074,201,294
2075,074,253
2076,174,257
2077,155,239
2078,142,276
2079,167,255
2080,158,268
2081,090,239
2082,128,253
2083,142,245
2084,149,258
2085,106,260
2086,182,358
2087,130,271
2088,145,261
2089,069,305
2090,180,268
2091,099,243
2092,118,271
2093,127,251
2094,103,252
2095,092,265
2096,183,265
2097,164,252
2098,080,248
2099,177,267
2100,157,272
