year,firstday,lastday
2015,155,260
2016,128,227
2017,133,219
2018,159,231
2019,194,266
2020,129,279
2021,181,224
2022,172,254
2023,137,236
2024,137,228
2025,173,248
2026,104,236
2027,166,226
2028,170,227
2029,152,276
2030,165,252
2031,197,240
2032,170,244
2033,119,247
2034,137,235
2035,132,230
2036,200,205
2037,157,245
2038,149,210
2039,174,240
2040,169,242
2041,146,231
2042,150,263
2043,122,240
2044,184,253
2045,146,236
2046,162,280
2047,135,238
2048,130,268
2049,138,253
2050,136,262
2051,146,258
2052,165,232
2053,196,265
2054,119,223
2055,130,239
2056,138,242
2057,181,259
2058,127,230
2059,126,283
2060,145,248
2061,121,252
2062,145,253
2063,102,201
2064,189,255
2065,115,234
2066,182,279
2067,152,256
2068,132,275
2069,145,257
2070,138,212
2071,148,215
2072,146,278
2073,181,272
2074,124,269
2075,158,261
2076,138,240
2077,128,244
2078,147,255
2079,122,249
2080,144,287
2081,140,263
2082,144,259
2083,121,283
2084,129,269
2085,139,256
2086,179,254
2087,132,240
2088,144,256
2089,141,271
2090,144,271
2091,149,261
2092,106,259
2093,124,256
2094,122,267
2095,142,257
2096,125,239
2097,120,252
2098,126,270
2099,127,256
2100,124,275
