year,firstday,lastday
2015,126,341
2016,092,356
2017,077,250
2018,120,236
2019,100,266
2020,141,257
2021,060,270
2022,126,270
2023,086,272
2024,089,361
2025,101,268
2026,105,256
2027,108,267
2028,093,263
2029,131,250
2030,137,277
2031,178,253
2032,083,283
2033,103,356
2034,111,238
2035,120,273
2036,155,260
2037,093,265
2038,119,272
2039,157,264
2040,107,239
2041,158,251
2042,104,299
2043,119,268
2044,119,287
2045,159,262
2046,158,262
2047,109,356
2048,148,259
2049,091,210
2050,122,240
2051,154,258
2052,063,268
2053,110,222
2054,108,263
2055,069,262
2056,127,348
2057,139,264
2058,077,260
2059,094,266
2060,143,255
2061,116,248
2062,104,273
2063,185,249
2064,131,340
2065,151,262
2066,118,251
2067,102,254
2068,135,282
2069,156,275
2070,138,270
2071,081,261
2072,103,269
2073,090,254
2074,140,269
2075,104,259
2076,096,343
2077,121,265
2078,125,365
2079,102,267
2080,137,310
2081,112,262
2082,107,261
2083,114,262
2084,117,244
2085,091,267
2086,123,266
2087,137,361
2088,066,276
2089,104,263
2090,091,292
2091,122,356
2092,112,271
2093,101,275
2094,135,350
2095,119,242
2096,132,254
2097,139,290
2098,105,230
2099,099,275
2100,145,270
