year,firstday,lastday
2015,154,313
2016,134,267
2017,171,302
2018,151,247
2019,167,284
2020,174,267
2021,149,259
2022,173,262
2023,164,264
2024,171,299
2025,149,241
2026,163,252
2027,160,263
2028,166,259
2029,181,263
2030,136,270
2031,167,301
2032,170,265
2033,174,278
2034,168,263
2035,131,262
2036,185,290
2037,158,265
2038,171,312
2039,187,287
2040,182,265
2041,163,263
2042,146,257
2043,177,288
2044,158,250
2045,181,270
2046,171,294
2047,128,268
2048,180,270
2049,141,271
2050,173,266
2051,204,295
2052,182,263
2053,157,264
2054,190,256
2055,133,288
2056,183,262
2057,177,260
2058,189,246
2059,123,261
2060,159,277
2061,118,251
2062,138,226
2063,146,275
2064,118,282
2065,133,259
2066,162,274
2067,119,255
2068,120,284
2069,147,334
2070,188,275
2071,149,267
2072,182,286
2073,163,263
2074,185,258
2075,140,260
2076,151,317
2077,144,266
2078,160,311
2079,149,267
2080,116,265
2081,173,317
2082,154,259
2083,156,254
2084,153,335
2085,151,282
2086,142,281
2087,161,276
2088,159,272
2089,143,266
2090,151,269
2091,122,301
2092,152,270
2093,145,282
2094,125,330
2095,128,316
2096,135,265
2097,177,296
2098,025,268
2099,150,266
2100,159,258
