year,firstday,lastday
2015,126,258
2016,094,356
2017,077,250
2018,072,201
2019,101,259
2020,142,257
2021,060,279
2022,126,270
2023,109,272
2024,092,362
2025,101,250
2026,082,264
2027,108,256
2028,097,264
2029,126,250
2030,137,276
2031,118,246
2032,083,257
2033,124,356
2034,090,274
2035,120,273
2036,156,260
2037,093,266
2038,160,271
2039,117,259
2040,107,252
2041,089,267
2042,159,262
2043,119,263
2044,119,286
2045,158,262
2046,161,261
2047,109,356
2048,152,261
2049,086,216
2050,117,254
2051,151,226
2052,062,268
2053,110,221
2054,139,253
2055,087,262
2056,136,232
2057,139,260
2058,077,256
2059,094,270
2060,179,259
2061,117,248
2062,102,271
2063,192,279
2064,132,341
2065,152,280
2066,171,264
2067,150,254
2068,137,282
2069,156,276
2070,138,270
2071,170,262
2072,103,271
2073,090,356
2074,123,267
2075,086,261
2076,096,311
2077,159,352
2078,126,269
2079,102,267
2080,134,310
2081,112,262
2082,107,274
2083,111,263
2084,118,244
2085,095,267
2086,121,266
2087,137,361
2088,095,356
2089,104,355
2090,142,257
2091,137,227
2092,112,356
2093,150,275
2094,135,211
2095,110,241
2096,130,255
2097,123,290
2098,125,269
2099,099,272
2100,133,270
