year,firstday,lastday
2015,164,260
2016,159,241
2017,148,257
2018,153,244
2019,182,252
2020,154,280
2021,179,257
2022,168,248
2023,181,253
2024,171,236
2025,183,249
2026,178,229
2027,172,262
2028,172,216
2029,173,222
2030,166,257
2031,180,244
2032,151,223
2033,179,247
2034,160,239
2035,132,268
2036,194,242
2037,172,245
2038,144,276
2039,169,254
2040,157,248
2041,186,245
2042,147,235
2043,182,255
2044,188,270
2045,163,271
2046,187,248
2047,171,255
2048,185,240
2049,163,252
2050,162,263
2051,140,261
2052,183,269
2053,194,234
2054,163,241
2055,134,261
2056,187,265
2057,180,255
2058,137,252
2059,183,274
2060,134,275
2061,220,250
2062,164,249
2063,189,260
2064,184,249
2065,171,247
2066,181,259
2067,153,260
2068,160,272
2069,218,264
2070,144,271
2071,150,257
2072,148,264
2073,182,265
2074,074,256
2075,181,273
2076,161,249
2077,167,256
2078,171,270
2079,177,245
2080,183,245
2081,187,230
2082,158,273
2083,165,236
2084,169,273
2085,173,260
2086,191,262
2087,181,250
2088,180,266
2089,099,269
2090,148,267
2091,138,255
2092,012,272
2093,144,254
2094,185,264
2095,168,261
2096,128,270
2097,155,273
2098,161,262
2099,183,255
2100,187,248
