year,firstday,lastday
2015,160,252
2016,181,246
2017,174,228
2018,145,243
2019,180,242
2020,151,248
2021,182,226
2022,162,264
2023,182,246
2024,176,264
2025,143,242
2026,155,268
2027,169,244
2028,170,238
2029,141,246
2030,127,265
2031,185,252
2032,183,269
2033,189,238
2034,175,234
2035,176,244
2036,140,243
2037,166,239
2038,133,241
2039,132,262
2040,133,266
2041,133,231
2042,133,257
2043,137,262
2044,188,250
2045,165,242
2046,092,271
2047,145,251
2048,187,290
2049,130,241
2050,148,253
2051,123,265
2052,183,265
2053,141,247
2054,128,256
2055,181,266
2056,173,262
2057,137,262
2058,180,248
2059,173,265
2060,142,246
2061,174,256
2062,124,255
2063,137,267
2064,166,267
2065,181,237
2066,113,269
2067,189,260
2068,179,265
2069,154,251
2070,141,268
2071,160,269
2072,114,270
2073,174,260
2074,178,249
2075,182,265
2076,176,253
2077,081,244
2078,168,256
2079,162,265
2080,184,261
2081,206,231
2082,184,227
2083,182,278
2084,130,260
2085,173,257
2086,149,267
2087,180,251
2088,178,252
2089,203,274
2090,155,256
2091,063,271
2092,133,221
2093,037,270
2094,150,269
2095,074,268
2096,203,269
2097,165,244
2098,179,262
2099,182,257
2100,116,267
