year,firstday,lastday
2015,161,228
2016,179,223
2017,177,213
2018,171,277
2019,183,257
2020,185,194
2021,159,248
2022,152,246
2023,182,261
2024,164,264
2025,183,229
2026,173,268
2027,168,237
2028,171,251
2029,170,271
2030,151,264
2031,186,268
2032,183,285
2033,False,False
2034,175,244
2035,177,244
2036,127,227
2037,166,214
2038,177,242
2039,130,228
2040,096,256
2041,043,224
2042,163,283
2043,148,273
2044,205,249
2045,180,252
2046,160,258
2047,145,262
2048,190,199
2049,198,254
2050,148,254
2051,182,266
2052,202,269
2053,152,222
2054,180,238
2055,105,266
2056,137,216
2057,188,263
2058,115,243
2059,175,269
2060,161,216
2061,159,262
2062,129,267
2063,174,267
2064,192,267
2065,154,238
2066,161,260
2067,200,251
2068,180,251
2069,123,251
2070,162,270
2071,165,255
2072,115,264
2073,174,221
2074,042,249
2075,184,264
2076,176,248
2077,126,228
2078,037,246
2079,159,242
2080,190,265
2081,203,242
2082,193,244
2083,185,246
2084,161,226
2085,085,270
2086,153,259
2087,158,251
2088,189,251
2089,204,259
2090,163,218
2091,172,255
2092,129,221
2093,038,226
2094,166,263
2095,171,290
2096,204,257
2097,165,250
2098,124,246
2099,184,208
2100,177,244
