year,firstday,lastday
2015,143,201
2016,131,268
2017,124,269
2018,159,231
2019,261,267
2020,140,263
2021,178,191
2022,172,252
2023,140,222
2024,137,254
2025,153,267
2026,157,232
2027,174,224
2028,169,228
2029,153,236
2030,146,242
2031,148,159
2032,138,253
2033,183,263
2034,120,244
2035,129,278
2036,False,False
2037,155,245
2038,166,175
2039,149,259
2040,170,230
2041,147,256
2042,160,263
2043,122,238
2044,191,242
2045,217,224
2046,186,192
2047,134,277
2048,170,309
2049,112,257
2050,135,206
2051,143,259
2052,171,265
2053,135,270
2054,118,247
2055,097,237
2056,008,242
2057,181,267
2058,136,233
2059,118,246
2060,116,253
2061,121,252
2062,144,289
2063,194,215
2064,190,262
2065,113,211
2066,192,228
2067,187,252
2068,170,245
2069,205,245
2070,False,False
2071,150,233
2072,148,196
2073,110,212
2074,124,191
2075,174,253
2076,143,219
2077,156,236
2078,168,255
2079,135,253
2080,141,287
2081,175,222
2082,144,260
2083,214,221
2084,144,149
2085,False,False
2086,191,249
2087,132,240
2088,144,236
2089,101,219
2090,145,250
2091,139,245
2092,150,254
2093,123,257
2094,False,False
2095,142,230
2096,117,269
2097,132,251
2098,109,194
2099,133,260
2100,157,236
