year,firstday,lastday
2015,144,340
2016,117,245
2017,123,245
2018,116,287
2019,154,346
2020,121,284
2021,150,247
2022,130,282
2023,125,279
2024,131,282
2025,106,279
2026,115,283
2027,120,243
2028,128,243
2029,137,227
2030,102,243
2031,121,243
2032,114,286
2033,120,227
2034,127,244
2035,122,240
2036,122,242
2037,117,358
2038,140,234
2039,138,268
2040,152,244
2041,148,244
2042,121,254
2043,121,240
2044,106,270
2045,124,281
2046,147,244
2047,121,216
2048,141,230
2049,158,289
2050,118,278
2051,114,354
2052,117,238
2053,124,303
2054,099,288
2055,049,277
2056,093,294
2057,150,229
2058,097,210
2059,111,202
2060,117,226
2061,117,208
2062,120,195
2063,126,357
2064,136,240
2065,129,287
2066,136,250
2067,138,282
2068,137,234
2069,098,288
2070,136,236
2071,130,277
2072,119,234
2073,144,264
2074,106,274
2075,094,273
2076,092,350
2077,121,269
2078,137,276
2079,133,349
2080,109,294
2081,131,258
2082,112,284
2083,119,278
2084,117,253
2085,136,294
2086,127,254
2087,118,274
2088,133,283
2089,133,279
2090,130,277
2091,127,277
2092,136,271
2093,123,287
2094,105,353
2095,127,273
2096,116,282
2097,109,272
2098,110,280
2099,145,285
2100,102,282
