year,firstday,lastday
2015,154,256
2016,133,227
2017,136,240
2018,149,258
2019,153,284
2020,171,262
2021,153,259
2022,172,262
2023,167,265
2024,170,297
2025,147,250
2026,163,260
2027,143,272
2028,136,245
2029,171,285
2030,154,270
2031,163,246
2032,167,266
2033,147,273
2034,154,263
2035,134,262
2036,167,291
2037,170,253
2038,169,282
2039,158,271
2040,172,264
2041,140,270
2042,144,257
2043,164,303
2044,158,251
2045,182,270
2046,180,220
2047,128,268
2048,178,270
2049,141,271
2050,143,349
2051,173,263
2052,127,262
2053,150,263
2054,172,273
2055,164,288
2056,180,261
2057,145,264
2058,174,246
2059,123,273
2060,150,276
2061,120,250
2062,075,222
2063,127,276
2064,118,254
2065,134,279
2066,175,274
2067,119,255
2068,120,283
2069,122,334
2070,167,281
2071,149,253
2072,175,286
2073,157,263
2074,135,258
2075,138,260
2076,150,267
2077,144,266
2078,119,311
2079,152,267
2080,117,265
2081,171,265
2082,168,259
2083,152,337
2084,143,335
2085,151,297
2086,142,281
2087,161,263
2088,159,272
2089,143,267
2090,140,269
2091,122,259
2092,153,270
2093,169,281
2094,171,330
2095,127,316
2096,135,278
2097,162,295
2098,023,279
2099,148,266
2100,129,282
