year,firstday,lastday
2015,175,238
2016,122,211
2017,126,261
2018,118,252
2019,127,255
2020,076,250
2021,104,250
2022,243,252
2023,133,253
2024,232,256
2025,064,259
2026,129,233
2027,164,282
2028,177,261
2029,175,268
2030,158,236
2031,107,274
2032,148,252
2033,180,230
2034,134,241
2035,136,234
2036,129,223
2037,119,263
2038,176,232
2039,143,183
2040,153,244
2041,192,331
2042,141,276
2043,134,279
2044,152,284
2045,158,231
2046,154,258
2047,140,270
2048,143,201
2049,099,231
2050,151,224
2051,132,253
2052,173,258
2053,133,250
2054,109,261
2055,080,208
2056,122,360
2057,157,228
2058,165,244
2059,172,276
2060,108,265
2061,121,248
2062,172,181
2063,172,253
2064,096,261
2065,172,272
2066,109,227
2067,164,280
2068,137,289
2069,095,271
2070,129,246
2071,158,226
2072,196,239
2073,163,255
2074,162,238
2075,251,257
2076,172,277
2077,147,230
2078,153,219
2079,139,281
2080,158,247
2081,False,False
2082,151,252
2083,128,249
2084,174,283
2085,171,263
2086,169,257
2087,166,231
2088,122,269
2089,163,215
2090,160,267
2091,122,260
2092,171,263
2093,168,218
2094,159,247
2095,146,261
2096,123,246
2097,135,269
2098,160,272
2099,183,221
2100,144,226
