year,firstday,lastday
2015,175,201
2016,170,269
2017,167,186
2018,119,220
2019,164,252
2020,115,230
2021,101,245
2022,192,211
2023,133,250
2024,162,237
2025,156,238
2026,131,212
2027,163,284
2028,152,208
2029,131,263
2030,172,181
2031,108,272
2032,250,256
2033,154,228
2034,159,241
2035,098,235
2036,161,255
2037,120,218
2038,202,258
2039,167,242
2040,148,246
2041,183,197
2042,140,207
2043,253,260
2044,152,221
2045,146,254
2046,155,259
2047,137,214
2048,141,237
2049,149,165
2050,190,235
2051,167,227
2052,161,256
2053,087,265
2054,False,False
2055,159,165
2056,192,357
2057,158,186
2058,193,199
2059,167,196
2060,183,188
2061,147,319
2062,159,193
2063,162,253
2064,094,231
2065,187,256
2066,153,233
2067,150,243
2068,102,283
2069,139,235
2070,174,259
2071,185,229
2072,163,278
2073,149,259
2074,157,214
2075,167,247
2076,186,244
2077,141,224
2078,172,231
2079,135,214
2080,174,248
2081,202,270
2082,147,216
2083,102,237
2084,167,219
2085,153,288
2086,171,257
2087,159,275
2088,144,193
2089,155,215
2090,165,268
2091,151,247
2092,169,249
2093,152,220
2094,153,249
2095,False,False
2096,127,242
2097,129,221
2098,116,265
2099,174,250
2100,182,225
