year,firstday,lastday
2015,127,274
2016,165,272
2017,133,249
2018,173,248
2019,046,258
2020,172,269
2021,125,272
2022,107,261
2023,120,261
2024,134,259
2025,157,242
2026,157,249
2027,133,345
2028,168,281
2029,006,265
2030,169,316
2031,137,266
2032,125,343
2033,135,279
2034,146,267
2035,133,274
2036,170,265
2037,182,323
2038,144,254
2039,129,232
2040,168,275
2041,183,254
2042,124,307
2043,145,318
2044,132,288
2045,136,252
2046,085,253
2047,164,282
2048,043,309
2049,121,310
2050,151,365
2051,117,269
2052,125,347
2053,177,333
2054,123,282
2055,143,303
2056,143,276
2057,138,267
2058,163,277
2059,132,268
2060,180,274
2061,141,318
2062,171,272
2063,119,289
2064,153,313
2065,154,274
2066,153,335
2067,172,331
2068,151,277
2069,051,274
2070,161,294
2071,107,279
2072,140,261
2073,129,255
2074,142,313
2075,125,289
2076,128,351
2077,141,278
2078,123,278
2079,144,289
2080,133,270
2081,157,250
2082,135,276
2083,130,300
2084,145,304
2085,121,277
2086,139,292
2087,121,283
2088,151,281
2089,129,264
2090,118,298
2091,146,286
2092,147,275
2093,156,303
2094,135,263
2095,160,292
2096,116,297
2097,126,293
2098,131,284
2099,125,292
2100,052,304
