year,firstday,lastday
2015,156,286
2016,131,205
2017,146,212
2018,150,250
2019,125,212
2020,123,208
2021,150,261
2022,152,299
2023,107,280
2024,131,216
2025,155,267
2026,140,211
2027,140,332
2028,148,254
2029,172,259
2030,150,209
2031,172,213
2032,109,207
2033,105,274
2034,153,240
2035,107,215
2036,153,282
2037,152,205
2038,168,213
2039,114,263
2040,148,211
2041,137,230
2042,139,207
2043,121,304
2044,101,244
2045,148,250
2046,113,279
2047,168,265
2048,169,238
2049,141,277
2050,134,243
2051,149,244
2052,118,269
2053,105,244
2054,149,239
2055,123,258
2056,137,274
2057,105,272
2058,112,269
2059,149,247
2060,150,312
2061,106,250
2062,141,231
2063,157,242
2064,095,240
2065,166,244
2066,105,266
2067,148,244
2068,119,255
2069,116,285
2070,182,268
2071,091,344
2072,089,263
2073,096,230
2074,112,240
2075,172,229
2076,150,247
2077,156,283
2078,126,283
2079,130,243
2080,112,359
2081,143,354
2082,129,242
2083,174,238
2084,123,245
2085,145,281
2086,138,280
2087,170,343
2088,141,221
2089,135,252
2090,136,275
2091,098,252
2092,142,243
2093,150,247
2094,110,297
2095,127,245
2096,122,289
2097,142,244
2098,139,240
2099,110,240
2100,109,241
