year,firstday,lastday
2015,161,240
2016,181,188
2017,176,183
2018,191,210
2019,183,190
2020,False,False
2021,229,240
2022,181,263
2023,182,190
2024,False,False
2025,False,False
2026,False,False
2027,False,False
2028,202,208
2029,178,264
2030,222,228
2031,190,200
2032,185,194
2033,False,False
2034,False,False
2035,187,237
2036,215,226
2037,228,238
2038,168,176
2039,245,252
2040,False,False
2041,177,184
2042,229,235
2043,False,False
2044,247,253
2045,False,False
2046,213,222
2047,197,214
2048,188,195
2049,214,220
2050,147,219
2051,231,240
2052,199,205
2053,136,263
2054,182,307
2055,False,False
2056,193,200
2057,267,273
2058,195,206
2059,231,260
2060,False,False
2061,180,227
2062,178,200
2063,185,264
2064,230,236
2065,184,219
2066,180,203
2067,209,216
2068,180,196
2069,False,False
2070,171,180
2071,160,254
2072,172,194
2073,185,220
2074,217,224
2075,False,False
2076,184,195
2077,False,False
2078,167,227
2079,False,False
2080,186,219
2081,200,211
2082,190,196
2083,183,257
2084,132,138
2085,184,260
2086,149,264
2087,190,196
2088,233,240
2089,203,209
2090,False,False
2091,182,188
2092,False,False
2093,226,249
2094,152,257
2095,194,206
2096,218,225
2097,False,False
2098,186,196
2099,183,261
2100,False,False
