year,firstday,lastday
2015,167,266
2016,246,252
2017,171,179
2018,False,False
2019,183,236
2020,189,203
2021,213,229
2022,False,False
2023,166,218
2024,211,217
2025,225,231
2026,160,262
2027,180,218
2028,173,248
2029,False,False
2030,178,184
2031,187,193
2032,195,333
2033,160,200
2034,101,177
2035,False,False
2036,False,False
2037,174,181
2038,190,218
2039,195,216
2040,258,264
2041,233,239
2042,166,226
2043,183,243
2044,185,206
2045,215,221
2046,173,210
2047,188,195
2048,225,234
2049,177,265
2050,171,218
2051,False,False
2052,172,198
2053,False,False
2054,183,203
2055,165,210
2056,False,False
2057,177,183
2058,177,210
2059,183,200
2060,184,220
2061,149,183
2062,193,200
2063,156,231
2064,173,179
2065,156,175
2066,189,268
2067,174,284
2068,161,177
2069,158,164
2070,180,279
2071,163,206
2072,173,189
2073,False,False
2074,False,False
2075,176,253
2076,150,226
2077,159,207
2078,204,210
2079,False,False
2080,177,213
2081,247,253
2082,172,186
2083,167,257
2084,False,False
2085,False,False
2086,176,183
2087,176,182
2088,False,False
2089,183,194
2090,162,264
2091,186,214
2092,176,255
2093,157,187
2094,158,262
2095,183,206
2096,False,False
2097,160,209
2098,False,False
2099,194,200
2100,175,257
