year,firstday,lastday
2015,166,242
2016,176,213
2017,199,356
2018,169,235
2019,130,219
2020,130,244
2021,146,241
2022,177,253
2023,126,244
2024,131,242
2025,178,202
2026,125,243
2027,156,236
2028,153,238
2029,178,223
2030,164,243
2031,141,239
2032,210,235
2033,209,218
2034,191,236
2035,161,181
2036,160,217
2037,153,216
2038,160,186
2039,155,242
2040,169,197
2041,169,189
2042,169,207
2043,176,236
2044,161,239
2045,155,201
2046,145,177
2047,155,241
2048,234,240
2049,219,239
2050,212,236
2051,165,231
2052,171,179
2053,180,192
2054,134,228
2055,214,222
2056,160,294
2057,171,239
2058,169,232
2059,166,226
2060,163,235
2061,153,244
2062,200,225
2063,171,177
2064,154,231
2065,136,237
2066,133,232
2067,174,220
2068,143,244
2069,178,243
2070,209,252
2071,227,237
2072,145,162
2073,183,248
2074,106,181
2075,156,272
2076,131,182
2077,148,178
2078,False,False
2079,False,False
2080,154,162
2081,183,196
2082,159,169
2083,123,182
2084,False,False
2085,168,175
2086,244,252
2087,122,279
2088,180,189
2089,153,230
2090,False,False
2091,False,False
2092,255,262
2093,False,False
2094,170,220
2095,142,162
2096,118,177
2097,148,155
2098,203,249
2099,161,286
2100,130,136
