year,firstday,lastday
2015,097,231
2016,110,257
2017,114,250
2018,137,227
2019,158,358
2020,084,264
2021,099,259
2022,151,246
2023,171,266
2024,100,231
2025,177,258
2026,127,270
2027,154,207
2028,177,260
2029,182,270
2030,107,272
2031,154,223
2032,109,260
2033,096,235
2034,135,212
2035,190,259
2036,149,355
2037,151,253
2038,149,267
2039,157,235
2040,121,272
2041,114,275
2042,129,268
2043,147,270
2044,135,359
2045,139,249
2046,140,236
2047,154,256
2048,171,267
2049,082,253
2050,134,243
2051,164,257
2052,070,286
2053,105,252
2054,161,271
2055,181,250
2056,181,258
2057,170,260
2058,157,269
2059,181,217
2060,173,263
2061,179,252
2062,110,267
2063,173,268
2064,117,338
2065,144,355
2066,152,268
2067,150,277
2068,127,260
2069,182,262
2070,123,254
2071,112,183
2072,120,264
2073,149,241
2074,179,295
2075,150,266
2076,137,266
2077,151,365
2078,155,275
2079,169,253
2080,147,248
2081,115,277
2082,124,245
2083,136,234
2084,183,263
2085,104,260
2086,138,360
2087,157,267
2088,144,266
2089,151,286
2090,145,264
2091,153,225
2092,119,278
2093,149,250
2094,171,259
2095,140,267
2096,117,218
2097,161,249
2098,149,270
2099,143,234
2100,152,246
