year,firstday,lastday
2015,172,190
2016,170,188
2017,211,229
2018,201,225
2019,201,247
2020,192,198
2021,234,240
2022,164,224
2023,192,248
2024,190,224
2025,False,False
2026,190,240
2027,176,201
2028,177,183
2029,183,198
2030,False,False
2031,195,204
2032,188,269
2033,False,False
2034,False,False
2035,182,195
2036,216,226
2037,223,237
2038,168,214
2039,False,False
2040,261,268
2041,178,185
2042,277,285
2043,235,242
2044,199,255
2045,198,228
2046,170,185
2047,198,214
2048,222,229
2049,201,212
2050,158,235
2051,196,205
2052,False,False
2053,155,263
2054,208,257
2055,191,238
2056,229,264
2057,230,273
2058,192,243
2059,231,237
2060,195,244
2061,176,227
2062,182,237
2063,172,267
2064,207,231
2065,209,218
2066,178,195
2067,236,243
2068,184,196
2069,False,False
2070,165,178
2071,178,186
2072,175,268
2073,182,196
2074,182,224
2075,188,221
2076,181,220
2077,127,134
2078,189,232
2079,188,279
2080,186,256
2081,False,False
2082,False,False
2083,False,False
2084,221,228
2085,183,244
2086,False,False
2087,182,210
2088,179,246
2089,203,274
2090,158,191
2091,184,232
2092,204,212
2093,207,250
2094,184,262
2095,172,244
2096,259,269
2097,173,250
2098,184,249
2099,False,False
2100,181,264
