year,firstday,lastday
2015,097,247
2016,110,278
2017,114,266
2018,145,232
2019,121,253
2020,085,260
2021,099,356
2022,176,285
2023,169,266
2024,116,267
2025,172,256
2026,125,270
2027,151,239
2028,089,242
2029,118,272
2030,107,264
2031,154,247
2032,109,261
2033,096,263
2034,166,212
2035,185,253
2036,147,268
2037,117,267
2038,148,267
2039,157,235
2040,121,258
2041,114,262
2042,130,355
2043,143,272
2044,135,260
2045,138,254
2046,128,216
2047,141,261
2048,164,263
2049,082,259
2050,160,244
2051,163,253
2052,081,286
2053,105,252
2054,161,361
2055,180,252
2056,133,240
2057,170,260
2058,134,277
2059,155,205
2060,186,263
2061,080,258
2062,111,280
2063,168,268
2064,117,338
2065,097,216
2066,157,268
2067,149,277
2068,128,261
2069,160,264
2070,122,254
2071,114,271
2072,155,255
2073,149,243
2074,179,261
2075,147,249
2076,137,264
2077,139,362
2078,186,277
2079,167,252
2080,121,245
2081,098,258
2082,124,253
2083,117,223
2084,195,267
2085,105,259
2086,115,274
2087,157,269
2088,130,265
2089,138,286
2090,145,266
2091,101,226
2092,119,231
2093,125,249
2094,120,362
2095,139,267
2096,116,263
2097,160,213
2098,132,273
2099,125,234
2100,087,246
