year,firstday,lastday
2015,160,241
2016,162,239
2017,114,237
2018,181,202
2019,157,237
2020,171,211
2021,184,212
2022,163,217
2023,170,248
2024,176,225
2025,150,225
2026,169,203
2027,163,239
2028,169,230
2029,006,012
2030,167,222
2031,110,242
2032,202,225
2033,135,185
2034,134,314
2035,128,232
2036,161,209
2037,151,215
2038,124,173
2039,170,247
2040,122,236
2041,121,246
2042,122,235
2043,194,333
2044,148,195
2045,144,246
2046,123,241
2047,123,235
2048,148,246
2049,116,241
2050,160,227
2051,132,219
2052,131,207
2053,180,199
2054,117,218
2055,136,281
2056,125,227
2057,120,347
2058,138,199
2059,175,281
2060,136,271
2061,143,246
2062,139,233
2063,135,246
2064,110,238
2065,151,214
2066,155,227
2067,160,246
2068,150,216
2069,143,243
2070,162,219
2071,178,233
2072,103,310
2073,173,232
2074,142,269
2075,128,188
2076,147,253
2077,False,False
2078,101,253
2079,132,227
2080,133,248
2081,185,266
2082,137,271
2083,129,227
2084,208,231
2085,121,295
2086,139,270
2087,145,234
2088,189,278
2089,142,249
2090,194,202
2091,156,235
2092,147,226
2093,156,298
2094,151,280
2095,164,206
2096,132,286
2097,133,241
2098,134,223
2099,167,266
2100,191,225
