year,firstday,lastday
2015,177,202
2016,137,208
2017,False,False
2018,False,False
2019,208,257
2020,179,230
2021,169,268
2022,145,181
2023,111,216
2024,147,212
2025,099,189
2026,085,192
2027,148,180
2028,147,190
2029,173,249
2030,179,187
2031,185,250
2032,175,187
2033,127,356
2034,119,265
2035,183,220
2036,180,192
2037,167,266
2038,False,False
2039,120,245
2040,198,223
2041,156,253
2042,168,174
2043,200,206
2044,False,False
2045,False,False
2046,172,196
2047,127,251
2048,147,222
2049,180,190
2050,233,242
2051,False,False
2052,098,162
2053,177,222
2054,144,154
2055,216,222
2056,188,194
2057,212,268
2058,077,226
2059,127,133
2060,179,257
2061,169,175
2062,False,False
2063,236,243
2064,140,272
2065,187,242
2066,213,226
2067,206,232
2068,138,241
2069,178,277
2070,172,229
2071,173,186
2072,207,240
2073,150,187
2074,232,243
2075,192,262
2076,200,242
2077,182,189
2078,182,188
2079,180,223
2080,144,245
2081,182,219
2082,False,False
2083,087,154
2084,167,245
2085,107,207
2086,125,201
2087,153,268
2088,184,237
2089,183,192
2090,168,240
2091,139,191
2092,182,219
2093,165,199
2094,175,211
2095,118,124
2096,182,254
2097,175,181
2098,150,271
2099,191,271
2100,179,275
