year,firstday,lastday
2015,149,177
2016,225,231
2017,238,269
2018,083,231
2019,135,263
2020,181,231
2021,163,176
2022,213,227
2023,157,217
2024,201,245
2025,194,225
2026,169,176
2027,153,252
2028,095,215
2029,179,196
2030,158,191
2031,152,193
2032,255,261
2033,142,201
2034,171,185
2035,194,203
2036,False,False
2037,173,228
2038,140,221
2039,162,207
2040,216,236
2041,187,217
2042,172,262
2043,158,244
2044,137,263
2045,222,254
2046,100,189
2047,162,238
2048,171,232
2049,171,240
2050,187,265
2051,160,168
2052,286,292
2053,145,224
2054,143,268
2055,114,207
2056,144,157
2057,152,217
2058,143,278
2059,179,186
2060,133,192
2061,168,243
2062,171,271
2063,151,230
2064,183,247
2065,134,240
2066,104,247
2067,163,207
2068,150,200
2069,208,214
2070,138,283
2071,146,230
2072,183,189
2073,140,203
2074,184,281
2075,145,176
2076,115,215
2077,201,237
2078,160,202
2079,123,176
2080,176,182
2081,166,247
2082,148,185
2083,214,220
2084,205,214
2085,159,282
2086,232,238
2087,144,180
2088,189,268
2089,174,181
2090,171,243
2091,172,218
2092,161,205
2093,101,108
2094,172,179
2095,176,235
2096,193,201
2097,129,259
2098,False,False
2099,140,220
2100,170,230
