year,firstday,lastday
2015,160,240
2016,181,239
2017,174,228
2018,145,211
2019,180,242
2020,182,248
2021,182,219
2022,162,264
2023,182,246
2024,191,264
2025,182,242
2026,155,268
2027,169,244
2028,170,238
2029,141,246
2030,127,228
2031,185,252
2032,183,269
2033,189,238
2034,183,234
2035,176,244
2036,188,243
2037,166,239
2038,133,241
2039,195,242
2040,133,266
2041,133,224
2042,202,257
2043,148,235
2044,188,250
2045,165,242
2046,092,271
2047,145,231
2048,187,290
2049,130,241
2050,148,253
2051,123,258
2052,192,265
2053,141,247
2054,128,256
2055,181,243
2056,173,237
2057,137,262
2058,180,248
2059,180,252
2060,189,246
2061,174,256
2062,124,255
2063,137,267
2064,166,267
2065,181,237
2066,174,269
2067,189,260
2068,179,265
2069,184,251
2070,141,268
2071,160,254
2072,114,270
2073,174,260
2074,178,249
2075,182,265
2076,176,253
2077,127,244
2078,168,256
2079,169,265
2080,184,261
2081,206,231
2082,184,227
2083,182,257
2084,130,247
2085,173,257
2086,149,267
2087,180,251
2088,178,252
2089,203,262
2090,155,218
2091,177,271
2092,133,221
2093,174,270
2094,150,269
2095,074,268
2096,203,269
2097,165,231
2098,179,249
2099,182,257
2100,116,267
