year,firstday,lastday
2015,137,190
2016,203,271
2017,175,194
2018,179,246
2019,130,211
2020,163,233
2021,138,211
2022,209,252
2023,162,245
2024,200,259
2025,167,250
2026,179,205
2027,166,285
2028,161,191
2029,198,204
2030,183,191
2031,191,267
2032,197,203
2033,220,230
2034,140,241
2035,168,253
2036,157,179
2037,189,196
2038,224,230
2039,180,215
2040,151,265
2041,222,228
2042,151,229
2043,171,259
2044,155,195
2045,False,False
2046,182,248
2047,160,166
2048,171,251
2049,147,250
2050,190,198
2051,167,230
2052,161,256
2053,225,265
2054,181,212
2055,103,171
2056,350,358
2057,160,232
2058,183,190
2059,172,204
2060,238,255
2061,157,245
2062,160,194
2063,171,215
2064,201,222
2065,186,257
2066,163,233
2067,158,273
2068,189,256
2069,095,192
2070,174,245
2071,204,236
2072,163,225
2073,171,259
2074,167,273
2075,175,197
2076,166,207
2077,169,230
2078,153,181
2079,137,186
2080,174,249
2081,177,270
2082,167,249
2083,194,251
2084,174,262
2085,165,171
2086,118,257
2087,160,205
2088,165,267
2089,156,232
2090,161,271
2091,121,212
2092,168,269
2093,152,217
2094,151,298
2095,171,177
2096,197,273
2097,157,266
2098,116,264
2099,212,234
2100,195,226
