year,firstday,lastday
2015,100,225
2016,171,250
2017,112,241
2018,178,255
2019,130,254
2020,182,260
2021,174,229
2022,176,248
2023,202,267
2024,185,215
2025,182,245
2026,168,218
2027,154,238
2028,088,233
2029,211,261
2030,181,249
2031,164,245
2032,166,234
2033,182,231
2034,188,247
2035,197,251
2036,145,232
2037,158,242
2038,178,240
2039,174,237
2040,022,254
2041,088,277
2042,195,240
2043,130,235
2044,176,258
2045,142,249
2046,094,197
2047,167,236
2048,177,251
2049,179,240
2050,166,263
2051,115,246
2052,081,240
2053,191,249
2054,177,237
2055,185,241
2056,187,269
2057,179,236
2058,112,270
2059,190,245
2060,200,265
2061,182,259
2062,175,269
2063,215,268
2064,162,234
2065,096,253
2066,180,220
2067,159,260
2068,200,207
2069,186,253
2070,126,253
2071,182,193
2072,128,245
2073,157,240
2074,187,261
2075,179,246
2076,194,253
2077,190,239
2078,162,241
2079,172,242
2080,155,244
2081,008,240
2082,174,278
2083,165,220
2084,203,249
2085,140,260
2086,170,242
2087,130,239
2088,156,236
2089,109,300
2090,062,252
2091,180,221
2092,104,274
2093,154,240
2094,204,259
2095,099,228
2096,185,263
2097,078,255
2098,172,235
2099,178,262
2100,158,245
