year,firstday,lastday
2015,174,228
2016,165,227
2017,144,240
2018,158,247
2019,182,251
2020,171,245
2021,178,240
2022,182,239
2023,188,229
2024,170,255
2025,212,226
2026,180,218
2027,160,272
2028,166,245
2029,189,263
2030,154,270
2031,171,246
2032,180,252
2033,168,206
2034,167,226
2035,165,250
2036,185,271
2037,170,226
2038,181,221
2039,187,271
2040,190,237
2041,180,263
2042,157,237
2043,179,254
2044,158,242
2045,182,235
2046,180,211
2047,197,268
2048,178,270
2049,173,271
2050,143,266
2051,173,237
2052,182,262
2053,150,263
2054,190,243
2055,164,203
2056,180,261
2057,182,242
2058,222,246
2059,198,261
2060,150,276
2061,189,250
2062,181,222
2063,181,255
2064,167,254
2065,182,242
2066,175,261
2067,131,255
2068,162,276
2069,169,216
2070,184,281
2071,149,253
2072,175,265
2073,175,263
2074,179,246
2075,170,210
2076,192,267
2077,158,266
2078,174,245
2079,164,267
2080,164,265
2081,171,218
2082,168,245
2083,186,254
2084,184,263
2085,151,266
2086,178,281
2087,251,263
2088,159,240
2089,162,252
2090,187,269
2091,122,259
2092,170,270
2093,176,273
2094,180,265
2095,142,265
2096,180,255
2097,177,272
2098,193,222
2099,178,266
2100,177,245
