year,firstday,lastday
2015,127,252
2016,138,239
2017,103,203
2018,114,182
2019,255,267
2020,198,255
2021,162,241
2022,False,False
2023,120,243
2024,187,253
2025,140,229
2026,138,252
2027,133,203
2028,138,193
2029,123,227
2030,173,254
2031,239,249
2032,158,218
2033,125,211
2034,False,False
2035,168,242
2036,174,190
2037,185,253
2038,201,214
2039,False,False
2040,194,243
2041,096,224
2042,117,257
2043,False,False
2044,157,173
2045,162,235
2046,182,265
2047,False,False
2048,173,255
2049,220,253
2050,236,260
2051,134,255
2052,154,175
2053,215,232
2054,179,211
2055,144,258
2056,195,260
2057,190,200
2058,130,211
2059,203,247
2060,186,241
2061,111,247
2062,False,False
2063,217,256
2064,170,274
2065,173,263
2066,215,236
2067,121,224
2068,False,False
2069,175,205
2070,172,244
2071,176,206
2072,216,226
2073,146,257
2074,128,208
2075,144,265
2076,126,247
2077,200,267
2078,176,186
2079,176,237
2080,244,257
2081,212,227
2082,False,False
2083,242,252
2084,142,161
2085,139,207
2086,False,False
2087,144,242
2088,False,False
2089,216,226
2090,166,261
2091,128,193
2092,181,228
2093,179,258
2094,139,237
2095,213,248
2096,225,249
2097,False,False
2098,255,268
2099,183,236
2100,218,230
