year,firstday,lastday
2015,142,209
2016,129,255
2017,119,195
2018,120,205
2019,100,192
2020,165,245
2021,186,270
2022,164,206
2023,180,218
2024,139,256
2025,116,219
2026,105,256
2027,150,165
2028,156,211
2029,131,250
2030,137,193
2031,178,253
2032,177,190
2033,125,259
2034,111,214
2035,129,209
2036,False,False
2037,150,203
2038,160,272
2039,238,264
2040,195,221
2041,167,223
2042,175,233
2043,182,268
2044,119,239
2045,204,241
2046,169,262
2047,109,205
2048,148,259
2049,185,199
2050,229,240
2051,175,226
2052,148,212
2053,206,222
2054,189,215
2055,171,213
2056,152,222
2057,185,226
2058,197,210
2059,113,266
2060,174,203
2061,116,209
2062,False,False
2063,185,201
2064,171,275
2065,151,262
2066,156,216
2067,185,197
2068,172,252
2069,156,212
2070,175,257
2071,164,261
2072,143,194
2073,147,211
2074,175,198
2075,104,259
2076,096,213
2077,180,265
2078,125,220
2079,175,223
2080,137,275
2081,142,262
2082,154,235
2083,114,233
2084,117,213
2085,162,208
2086,251,266
2087,152,266
2088,183,269
2089,121,229
2090,149,222
2091,147,228
2092,169,223
2093,153,199
2094,135,211
2095,119,208
2096,132,145
2097,155,243
2098,211,221
2099,166,275
2100,176,197
