year,firstday,lastday
2015,138,204
2016,146,195
2017,126,208
2018,154,214
2019,177,207
2020,129,244
2021,158,183
2022,131,222
2023,121,206
2024,096,205
2025,151,245
2026,146,242
2027,146,242
2028,163,241
2029,183,226
2030,139,221
2031,157,232
2032,163,234
2033,118,222
2034,139,239
2035,170,221
2036,121,246
2037,109,204
2038,149,247
2039,161,232
2040,161,230
2041,140,213
2042,152,217
2043,125,233
2044,167,245
2045,129,208
2046,147,196
2047,146,195
2048,152,182
2049,False,False
2050,125,224
2051,151,190
2052,117,255
2053,152,202
2054,140,284
2055,152,221
2056,115,227
2057,169,184
2058,150,179
2059,147,183
2060,152,244
2061,147,268
2062,122,198
2063,174,233
2064,144,230
2065,134,255
2066,133,149
2067,147,182
2068,147,229
2069,False,False
2070,148,213
2071,137,182
2072,156,167
2073,147,267
2074,143,270
2075,144,218
2076,111,263
2077,112,266
2078,135,297
2079,158,271
2080,111,244
2081,142,240
2082,112,284
2083,119,249
2084,117,242
2085,154,259
2086,152,257
2087,123,274
2088,134,276
2089,140,263
2090,162,277
2091,167,247
2092,115,271
2093,134,234
2094,153,248
2095,137,250
2096,126,240
2097,125,272
2098,162,246
2099,140,236
2100,124,262
