year,firstday,lastday
2015,126,198
2016,173,221
2017,193,239
2018,194,234
2019,False,False
2020,169,243
2021,187,229
2022,184,261
2023,191,268
2024,201,213
2025,223,241
2026,209,255
2027,182,237
2028,191,232
2029,222,234
2030,191,248
2031,164,218
2032,224,235
2033,219,231
2034,206,219
2035,245,258
2036,181,193
2037,166,242
2038,183,196
2039,170,186
2040,226,255
2041,099,278
2042,193,205
2043,168,228
2044,178,237
2045,241,254
2046,False,False
2047,161,193
2048,228,242
2049,217,241
2050,189,261
2051,203,243
2052,False,False
2053,201,226
2054,170,219
2055,214,226
2056,219,263
2057,177,187
2058,137,270
2059,False,False
2060,200,261
2061,090,260
2062,204,268
2063,210,236
2064,204,217
2065,096,189
2066,196,207
2067,154,260
2068,223,235
2069,213,236
2070,False,False
2071,178,191
2072,232,244
2073,175,207
2074,180,225
2075,181,243
2076,181,198
2077,181,224
2078,196,229
2079,182,248
2080,169,250
2081,106,226
2082,207,249
2083,144,217
2084,179,209
2085,False,False
2086,False,False
2087,False,False
2088,210,233
2089,205,268
2090,220,240
2091,180,229
2092,171,251
2093,152,240
2094,211,232
2095,098,108
2096,212,226
2097,186,259
2098,205,248
2099,208,262
2100,183,207
