year,firstday,lastday
2015,187,241
2016,196,210
2017,203,224
2018,191,202
2019,157,237
2020,198,211
2021,False,False
2022,163,196
2023,False,False
2024,176,191
2025,164,199
2026,169,203
2027,173,229
2028,189,204
2029,False,False
2030,167,222
2031,166,179
2032,False,False
2033,135,185
2034,False,False
2035,158,232
2036,161,175
2037,184,215
2038,138,148
2039,202,216
2040,141,218
2041,172,246
2042,192,219
2043,194,204
2044,148,185
2045,144,155
2046,123,241
2047,157,172
2048,148,180
2049,199,211
2050,160,209
2051,151,202
2052,False,False
2053,180,199
2054,117,190
2055,206,217
2056,False,False
2057,155,216
2058,138,199
2059,187,197
2060,204,220
2061,177,187
2062,139,207
2063,135,215
2064,145,211
2065,151,214
2066,178,197
2067,160,210
2068,183,216
2069,143,207
2070,162,175
2071,178,233
2072,165,215
2073,173,232
2074,197,269
2075,162,188
2076,False,False
2077,False,False
2078,False,False
2079,132,142
2080,133,205
2081,False,False
2082,156,261
2083,False,False
2084,208,231
2085,121,206
2086,139,270
2087,False,False
2088,False,False
2089,179,189
2090,False,False
2091,156,167
2092,147,226
2093,167,183
2094,169,238
2095,164,206
2096,False,False
2097,207,220
2098,134,223
2099,167,248
2100,False,False
