year,firstday,lastday
2015,161,191
2016,179,223
2017,177,194
2018,171,210
2019,183,232
2020,False,False
2021,False,False
2022,179,246
2023,182,219
2024,False,False
2025,193,203
2026,186,259
2027,168,221
2028,180,227
2029,170,206
2030,218,228
2031,186,249
2032,183,254
2033,False,False
2034,182,200
2035,177,188
2036,206,220
2037,False,False
2038,False,False
2039,False,False
2040,160,256
2041,False,False
2042,235,246
2043,193,273
2044,214,249
2045,False,False
2046,160,258
2047,False,False
2048,False,False
2049,False,False
2050,183,224
2051,False,False
2052,False,False
2053,152,201
2054,False,False
2055,180,194
2056,183,205
2057,188,237
2058,182,243
2059,False,False
2060,192,203
2061,206,249
2062,181,226
2063,182,267
2064,219,237
2065,181,208
2066,174,260
2067,220,251
2068,180,251
2069,188,221
2070,172,270
2071,165,255
2072,184,264
2073,174,213
2074,181,233
2075,184,264
2076,176,213
2077,126,228
2078,200,216
2079,177,227
2080,240,256
2081,203,232
2082,False,False
2083,195,225
2084,161,199
2085,175,195
2086,179,259
2087,179,251
2088,240,251
2089,204,259
2090,False,False
2091,172,234
2092,129,221
2093,181,209
2094,166,225
2095,203,220
2096,False,False
2097,165,231
2098,217,230
2099,198,208
2100,177,194
