year,firstday,lastday
2015,112,214
2016,127,201
2017,143,214
2018,135,200
2019,125,196
2020,133,196
2021,187,207
2022,133,206
2023,123,209
2024,130,192
2025,148,202
2026,119,246
2027,140,282
2028,140,214
2029,258,268
2030,126,212
2031,120,213
2032,124,213
2033,161,291
2034,112,128
2035,132,201
2036,171,191
2037,113,211
2038,116,214
2039,127,195
2040,120,130
2041,120,197
2042,121,210
2043,180,214
2044,144,237
2045,145,228
2046,123,227
2047,122,276
2048,136,247
2049,153,241
2050,135,209
2051,150,276
2052,209,225
2053,131,197
2054,120,188
2055,134,237
2056,123,245
2057,132,234
2058,144,266
2059,123,248
2060,131,238
2061,126,250
2062,166,245
2063,149,246
2064,142,271
2065,159,270
2066,148,279
2067,138,271
2068,125,238
2069,138,261
2070,122,249
2071,131,259
2072,152,254
2073,122,236
2074,148,268
2075,130,225
2076,125,249
2077,138,239
2078,149,293
2079,132,254
2080,133,256
2081,166,231
2082,117,274
2083,131,267
2084,139,265
2085,131,248
2086,150,245
2087,151,265
2088,125,260
2089,134,282
2090,161,267
2091,145,275
2092,151,282
2093,138,237
2094,130,282
2095,142,247
2096,137,260
2097,130,254
2098,117,287
2099,133,299
2100,142,251
