year,firstday,lastday
2015,175,198
2016,False,False
2017,False,False
2018,220,231
2019,154,224
2020,180,241
2021,186,200
2022,184,223
2023,110,240
2024,196,208
2025,214,230
2026,181,193
2027,False,False
2028,176,229
2029,False,False
2030,185,248
2031,179,191
2032,216,234
2033,205,217
2034,False,False
2035,182,192
2036,195,237
2037,False,False
2038,212,223
2039,159,240
2040,219,231
2041,False,False
2042,187,231
2043,179,191
2044,False,False
2045,238,249
2046,176,214
2047,193,238
2048,180,195
2049,170,240
2050,185,203
2051,180,196
2052,175,201
2053,195,239
2054,183,202
2055,166,206
2056,181,201
2057,190,219
2058,168,183
2059,160,172
2060,198,209
2061,167,232
2062,188,200
2063,167,222
2064,False,False
2065,150,204
2066,159,210
2067,140,209
2068,190,237
2069,178,197
2070,181,228
2071,156,225
2072,184,199
2073,False,False
2074,187,203
2075,160,198
2076,139,209
2077,133,241
2078,187,201
2079,167,182
2080,False,False
2081,194,226
2082,174,185
2083,False,False
2084,203,214
2085,False,False
2086,False,False
2087,190,206
2088,False,False
2089,False,False
2090,False,False
2091,168,222
2092,161,174
2093,False,False
2094,195,211
2095,201,218
2096,191,202
2097,248,258
2098,False,False
2099,181,202
2100,161,203
