year,firstday,lastday
2015,143,187
2016,183,194
2017,133,219
2018,False,False
2019,False,False
2020,157,226
2021,178,191
2022,244,252
2023,140,202
2024,191,221
2025,238,248
2026,157,179
2027,174,187
2028,169,185
2029,228,236
2030,166,201
2031,148,159
2032,172,253
2033,183,211
2034,120,244
2035,129,278
2036,False,False
2037,155,245
2038,166,175
2039,159,259
2040,170,230
2041,147,256
2042,167,263
2043,122,238
2044,235,242
2045,217,224
2046,False,False
2047,134,195
2048,170,177
2049,112,257
2050,135,206
2051,143,259
2052,171,265
2053,148,270
2054,False,False
2055,158,187
2056,213,242
2057,181,267
2058,136,233
2059,118,246
2060,116,221
2061,231,252
2062,160,234
2063,194,201
2064,190,262
2065,113,187
2066,192,228
2067,False,False
2068,170,245
2069,205,212
2070,False,False
2071,150,178
2072,False,False
2073,False,False
2074,124,191
2075,174,253
2076,164,171
2077,156,164
2078,168,189
2079,176,253
2080,141,205
2081,175,184
2082,163,204
2083,214,221
2084,False,False
2085,False,False
2086,191,249
2087,181,229
2088,144,155
2089,207,219
2090,145,199
2091,223,245
2092,150,157
2093,134,257
2094,False,False
2095,142,151
2096,124,134
2097,161,251
2098,129,175
2099,181,260
2100,157,213
