year,firstday,lastday
2015,205,212
2016,192,242
2017,147,215
2018,154,163
2019,False,False
2020,163,204
2021,179,186
2022,False,False
2023,192,245
2024,212,220
2025,235,245
2026,178,193
2027,189,196
2028,False,False
2029,False,False
2030,166,225
2031,175,182
2032,151,158
2033,179,189
2034,177,201
2035,142,151
2036,False,False
2037,False,False
2038,False,False
2039,False,False
2040,156,165
2041,307,316
2042,147,155
2043,False,False
2044,False,False
2045,163,170
2046,False,False
2047,168,181
2048,196,204
2049,163,245
2050,162,263
2051,False,False
2052,False,False
2053,False,False
2054,161,169
2055,172,179
2056,188,197
2057,181,229
2058,137,252
2059,201,213
2060,154,222
2061,157,165
2062,164,201
2063,207,215
2064,201,216
2065,194,203
2066,191,200
2067,False,False
2068,166,179
2069,250,257
2070,145,152
2071,149,232
2072,147,184
2073,False,False
2074,False,False
2075,233,244
2076,False,False
2077,False,False
2078,170,190
2079,177,185
2080,185,196
2081,False,False
2082,158,231
2083,False,False
2084,259,269
2085,False,False
2086,240,248
2087,205,240
2088,198,206
2089,False,False
2090,148,161
2091,188,197
2092,False,False
2093,172,181
2094,False,False
2095,171,178
2096,False,False
2097,155,213
2098,162,199
2099,False,False
2100,False,False
