year,firstday,lastday
2015,169,199
2016,161,226
2017,164,248
2018,False,False
2019,False,False
2020,160,188
2021,178,186
2022,188,232
2023,False,False
2024,217,228
2025,False,False
2026,178,189
2027,False,False
2028,179,192
2029,False,False
2030,183,218
2031,174,197
2032,False,False
2033,216,223
2034,173,249
2035,169,194
2036,False,False
2037,193,250
2038,179,224
2039,False,False
2040,164,177
2041,189,213
2042,200,247
2043,233,241
2044,False,False
2045,False,False
2046,False,False
2047,184,260
2048,False,False
2049,169,267
2050,172,207
2051,146,198
2052,222,230
2053,False,False
2054,False,False
2055,171,179
2056,212,265
2057,False,False
2058,131,198
2059,185,196
2060,133,175
2061,False,False
2062,164,207
2063,190,197
2064,False,False
2065,184,245
2066,191,199
2067,191,199
2068,263,270
2069,False,False
2070,191,201
2071,231,239
2072,190,200
2073,258,265
2074,False,False
2075,235,245
2076,False,False
2077,False,False
2078,170,273
2079,179,186
2080,198,206
2081,False,False
2082,217,229
2083,False,False
2084,167,174
2085,False,False
2086,247,254
2087,205,259
2088,198,206
2089,209,216
2090,219,228
2091,False,False
2092,187,225
2093,173,260
2094,220,229
2095,246,253
2096,242,292
2097,154,180
2098,165,199
2099,False,False
2100,207,214
