year,firstday,lastday
2015,162,266
2016,147,299
2017,129,355
2018,179,236
2019,192,217
2020,178,265
2021,175,250
2022,160,264
2023,188,255
2024,157,277
2025,152,263
2026,152,278
2027,181,239
2028,188,269
2029,176,234
2030,174,257
2031,179,257
2032,167,245
2033,183,247
2034,160,228
2035,162,260
2036,183,256
2037,181,315
2038,152,277
2039,166,273
2040,173,256
2041,167,261
2042,182,302
2043,174,261
2044,161,241
2045,156,290
2046,169,228
2047,154,231
2048,179,253
2049,166,263
2050,155,247
2051,152,250
2052,171,229
2053,157,302
2054,165,264
2055,168,250
2056,164,289
2057,189,274
2058,154,275
2059,157,259
2060,149,258
2061,159,297
2062,088,285
2063,152,293
2064,153,271
2065,158,274
2066,153,278
2067,148,251
2068,188,268
2069,162,256
2070,155,284
2071,178,278
2072,160,306
2073,173,266
2074,171,266
2075,171,260
2076,169,258
2077,146,277
2078,172,299
2079,138,239
2080,154,284
2081,156,254
2082,148,289
2083,129,264
2084,125,254
2085,155,260
2086,155,262
2087,132,273
2088,142,276
2089,151,265
2090,163,269
2091,140,279
2092,164,294
2093,171,276
2094,130,278
2095,148,275
2096,170,267
2097,150,301
2098,152,275
2099,188,287
2100,125,290
