year,firstday,lastday
2015,164,260
2016,184,241
2017,148,240
2018,153,244
2019,220,244
2020,161,221
2021,179,248
2022,168,248
2023,181,245
2024,171,236
2025,183,249
2026,186,229
2027,172,262
2028,172,216
2029,173,222
2030,166,257
2031,197,209
2032,151,223
2033,179,247
2034,160,210
2035,143,246
2036,220,227
2037,187,245
2038,160,255
2039,181,202
2040,157,248
2041,197,245
2042,147,235
2043,182,255
2044,196,239
2045,163,271
2046,187,248
2047,171,255
2048,185,228
2049,163,245
2050,162,263
2051,140,250
2052,191,269
2053,194,210
2054,False,False
2055,172,190
2056,187,265
2057,180,255
2058,137,252
2059,183,243
2060,134,242
2061,220,250
2062,164,249
2063,189,260
2064,204,249
2065,171,247
2066,181,259
2067,180,248
2068,160,272
2069,228,264
2070,144,217
2071,150,257
2072,173,264
2073,182,265
2074,180,244
2075,181,244
2076,161,240
2077,167,256
2078,171,270
2079,177,245
2080,183,245
2081,202,230
2082,181,257
2083,186,236
2084,169,273
2085,182,253
2086,191,250
2087,181,240
2088,180,256
2089,194,269
2090,148,251
2091,164,231
2092,149,251
2093,172,254
2094,185,231
2095,168,261
2096,141,270
2097,155,273
2098,161,247
2099,212,245
2100,187,248
