year,firstday,lastday
2015,137,227
2016,114,252
2017,152,252
2018,117,239
2019,237,251
2020,164,281
2021,137,247
2022,207,245
2023,157,253
2024,179,240
2025,125,249
2026,165,252
2027,161,241
2028,158,243
2029,226,245
2030,178,225
2031,141,245
2032,180,238
2033,134,220
2034,121,266
2035,048,236
2036,161,257
2037,104,222
2038,108,244
2039,176,246
2040,141,246
2041,183,251
2042,147,241
2043,170,234
2044,171,249
2045,204,233
2046,174,276
2047,176,252
2048,166,249
2049,142,218
2050,205,247
2051,168,235
2052,184,248
2053,172,226
2054,180,266
2055,161,241
2056,174,249
2057,159,235
2058,139,256
2059,098,250
2060,227,236
2061,141,269
2062,161,269
2063,165,253
2064,094,246
2065,145,259
2066,150,257
2067,171,260
2068,103,236
2069,118,243
2070,173,252
2071,172,249
2072,159,266
2073,142,189
2074,177,250
2075,127,248
2076,186,271
2077,165,267
2078,174,264
2079,139,249
2080,209,263
2081,166,268
2082,137,236
2083,129,250
2084,168,258
2085,163,290
2086,172,268
2087,160,267
2088,165,252
2089,152,284
2090,160,277
2091,207,253
2092,098,270
2093,130,269
2094,156,233
2095,204,279
2096,122,255
2097,131,242
2098,113,251
2099,155,290
2100,109,261
