year,firstday,lastday
2015,160,250
2016,108,275
2017,104,269
2018,113,240
2019,195,214
2020,133,258
2021,124,270
2022,146,262
2023,112,247
2024,138,254
2025,096,252
2026,137,263
2027,119,229
2028,136,265
2029,122,248
2030,136,254
2031,222,255
2032,136,256
2033,122,261
2034,091,272
2035,107,208
2036,131,208
2037,132,243
2038,135,235
2039,118,269
2040,180,261
2041,096,263
2042,121,259
2043,116,260
2044,161,253
2045,161,259
2046,181,265
2047,110,253
2048,154,258
2049,089,236
2050,120,260
2051,134,258
2052,096,241
2053,157,239
2054,137,229
2055,122,263
2056,137,272
2057,193,268
2058,123,229
2059,110,270
2060,175,244
2061,121,263
2062,182,272
2063,114,239
2064,133,275
2065,172,262
2066,138,271
2067,121,234
2068,139,248
2069,178,274
2070,174,257
2071,092,260
2072,099,271
2073,144,256
2074,126,214
2075,104,262
2076,090,243
2077,174,278
2078,132,254
2079,117,250
2080,132,264
2081,127,262
2082,127,252
2083,087,250
2084,132,221
2085,107,252
2086,123,261
2087,142,269
2088,153,245
2089,121,232
2090,143,260
2091,130,261
2092,181,273
2093,166,258
2094,145,253
2095,144,248
2096,124,265
2097,148,261
2098,124,243
2099,170,272
2100,181,268
