year,firstday,lastday
2015,127,276
2016,129,239
2017,103,249
2018,114,182
2019,100,267
2020,002,255
2021,127,241
2022,158,165
2023,120,243
2024,146,253
2025,115,253
2026,138,252
2027,133,222
2028,138,242
2029,123,227
2030,173,254
2031,180,249
2032,136,218
2033,125,241
2034,117,262
2035,168,242
2036,174,208
2037,113,253
2038,201,246
2039,120,242
2040,194,243
2041,096,224
2042,117,257
2043,103,260
2044,157,230
2045,162,235
2046,011,265
2047,019,186
2048,164,255
2049,201,253
2050,203,260
2051,134,296
2052,098,175
2053,164,232
2054,179,220
2055,144,258
2056,195,260
2057,190,269
2058,130,211
2059,109,265
2060,174,241
2061,111,263
2062,198,252
2063,204,256
2064,145,274
2065,173,263
2066,139,270
2067,121,224
2068,188,236
2069,175,274
2070,172,255
2071,176,235
2072,103,264
2073,146,257
2074,128,208
2075,144,265
2076,126,247
2077,186,267
2078,176,250
2079,130,251
2080,129,257
2081,197,247
2082,186,241
2083,144,252
2084,122,226
2085,139,207
2086,125,223
2087,144,269
2088,201,208
2089,124,226
2090,143,261
2091,128,219
2092,181,228
2093,168,258
2094,139,249
2095,112,248
2096,124,249
2097,149,250
2098,146,268
2099,171,236
2100,218,274
