year,firstday,lastday
2015,175,201
2016,206,269
2017,178,186
2018,159,220
2019,209,252
2020,160,175
2021,167,235
2022,False,False
2023,158,250
2024,162,194
2025,168,179
2026,173,186
2027,163,284
2028,152,172
2029,False,False
2030,172,181
2031,182,272
2032,False,False
2033,154,162
2034,174,181
2035,098,180
2036,161,255
2037,120,169
2038,230,241
2039,175,242
2040,148,246
2041,False,False
2042,148,207
2043,253,260
2044,152,193
2045,146,254
2046,197,223
2047,160,170
2048,141,203
2049,149,165
2050,False,False
2051,203,210
2052,188,236
2053,087,253
2054,False,False
2055,False,False
2056,192,357
2057,165,186
2058,False,False
2059,167,196
2060,False,False
2061,147,168
2062,172,193
2063,171,209
2064,094,180
2065,248,256
2066,162,204
2067,160,243
2068,140,208
2069,False,False
2070,174,186
2071,False,False
2072,173,182
2073,149,156
2074,False,False
2075,175,247
2076,186,203
2077,163,171
2078,172,231
2079,135,175
2080,174,248
2081,202,270
2082,147,198
2083,144,237
2084,167,177
2085,153,171
2086,190,257
2087,159,214
2088,165,193
2089,155,203
2090,165,247
2091,151,165
2092,169,205
2093,200,220
2094,153,249
2095,False,False
2096,233,242
2097,129,221
2098,116,124
2099,213,250
2100,182,225
