year,firstday,lastday
2015,177,184
2016,137,153
2017,False,False
2018,False,False
2019,208,257
2020,179,196
2021,169,268
2022,145,160
2023,111,216
2024,176,212
2025,099,189
2026,105,114
2027,148,156
2028,156,190
2029,173,249
2030,179,187
2031,185,250
2032,175,187
2033,127,262
2034,119,265
2035,183,192
2036,180,192
2037,167,179
2038,False,False
2039,120,245
2040,198,223
2041,156,253
2042,False,False
2043,False,False
2044,False,False
2045,False,False
2046,186,196
2047,176,185
2048,False,False
2049,180,190
2050,233,242
2051,False,False
2052,155,162
2053,214,222
2054,144,154
2055,False,False
2056,False,False
2057,212,219
2058,124,226
2059,False,False
2060,179,244
2061,False,False
2062,False,False
2063,236,243
2064,179,272
2065,187,242
2066,213,226
2067,206,213
2068,180,241
2069,178,186
2070,172,194
2071,173,186
2072,230,240
2073,150,158
2074,232,243
2075,227,262
2076,200,207
2077,182,189
2078,False,False
2079,191,223
2080,144,245
2081,182,219
2082,False,False
2083,087,154
2084,186,205
2085,191,207
2086,174,201
2087,153,268
2088,False,False
2089,183,192
2090,168,191
2091,139,191
2092,False,False
2093,180,199
2094,175,211
2095,False,False
2096,182,254
2097,False,False
2098,150,271
2099,191,246
2100,179,275
