year,firstday,lastday
2015,112,217
2016,116,250
2017,094,215
2018,169,204
2019,124,213
2020,133,205
2021,120,201
2022,133,194
2023,131,194
2024,130,186
2025,099,243
2026,119,212
2027,140,281
2028,140,208
2029,130,251
2030,126,203
2031,109,280
2032,120,229
2033,133,204
2034,112,213
2035,107,245
2036,130,204
2037,118,281
2038,117,214
2039,127,195
2040,120,217
2041,120,178
2042,121,280
2043,124,235
2044,128,237
2045,135,279
2046,123,230
2047,122,273
2048,128,262
2049,120,228
2050,137,236
2051,131,280
2052,123,243
2053,131,249
2054,121,255
2055,127,238
2056,123,259
2057,124,239
2058,139,266
2059,123,244
2060,131,259
2061,119,269
2062,136,271
2063,120,271
2064,142,260
2065,159,270
2066,125,275
2067,138,252
2068,124,288
2069,151,251
2070,134,301
2071,131,262
2072,134,273
2073,123,245
2074,119,361
2075,126,204
2076,125,265
2077,138,265
2078,123,289
2079,107,248
2080,133,265
2081,166,264
2082,095,253
2083,110,266
2084,139,287
2085,116,257
2086,139,295
2087,150,265
2088,125,248
2089,124,282
2090,148,268
2091,145,275
2092,133,282
2093,126,265
2094,130,282
2095,149,264
2096,137,286
2097,135,265
2098,118,278
2099,139,299
2100,142,251
