year,firstday,lastday
2015,167,213
2016,187,242
2017,167,242
2018,False,False
2019,False,False
2020,197,282
2021,178,186
2022,False,False
2023,False,False
2024,False,False
2025,211,218
2026,178,193
2027,174,253
2028,174,218
2029,False,False
2030,168,210
2031,False,False
2032,246,254
2033,233,240
2034,177,203
2035,172,222
2036,False,False
2037,235,244
2038,False,False
2039,220,229
2040,157,181
2041,False,False
2042,235,245
2043,232,239
2044,264,271
2045,164,243
2046,False,False
2047,185,192
2048,236,244
2049,180,275
2050,197,260
2051,252,259
2052,225,268
2053,False,False
2054,False,False
2055,175,214
2056,192,201
2057,182,195
2058,174,198
2059,219,226
2060,195,222
2061,False,False
2062,166,247
2063,207,215
2064,False,False
2065,175,241
2066,209,216
2067,False,False
2068,167,245
2069,250,257
2070,192,202
2071,False,False
2072,188,211
2073,264,272
2074,182,192
2075,181,243
2076,183,214
2077,False,False
2078,False,False
2079,False,False
2080,204,211
2081,False,False
2082,163,233
2083,False,False
2084,177,246
2085,268,275
2086,246,255
2087,203,240
2088,199,206
2089,176,254
2090,False,False
2091,228,237
2092,213,277
2093,False,False
2094,False,False
2095,205,212
2096,261,270
2097,162,193
2098,189,199
2099,False,False
2100,False,False
