year,firstday,lastday
2015,False,False
2016,265,273
2017,False,False
2018,189,197
2019,False,False
2020,181,292
2021,171,201
2022,177,202
2023,108,196
2024,168,256
2025,181,189
2026,196,227
2027,136,277
2028,184,191
2029,236,243
2030,182,231
2031,092,099
2032,174,183
2033,125,188
2034,197,205
2035,187,196
2036,180,271
2037,242,262
2038,False,False
2039,196,205
2040,190,197
2041,156,264
2042,170,227
2043,False,False
2044,184,195
2045,163,187
2046,095,186
2047,118,195
2048,False,False
2049,False,False
2050,False,False
2051,142,296
2052,False,False
2053,174,281
2054,False,False
2055,248,256
2056,False,False
2057,262,269
2058,133,227
2059,143,154
2060,False,False
2061,167,174
2062,234,324
2063,False,False
2064,170,200
2065,False,False
2066,178,185
2067,False,False
2068,False,False
2069,171,178
2070,191,227
2071,232,239
2072,161,195
2073,173,213
2074,False,False
2075,159,215
2076,145,273
2077,200,208
2078,184,195
2079,178,185
2080,False,False
2081,180,191
2082,False,False
2083,144,211
2084,False,False
2085,190,198
2086,178,199
2087,149,184
2088,160,193
2089,179,206
2090,168,288
2091,188,226
2092,263,273
2093,187,195
2094,185,248
2095,False,False
2096,169,259
2097,149,193
2098,253,261
2099,179,200
2100,190,214
